# This is the list of histogram data!
# Number	cdNum	mark
2	200	197
3	200	200
4	7	5
5	7	7
6	7	7
7	9	9
8	7	7
9	200	200
10	1	1
11	1	1
12	1	1
13	12	12
14	1	1
15	1	1
16	2	2
17	4	4
18	1	1
19	200	200
20	1	1
21	4	4
22	1	1
23	12	12
24	11	11
25	5	5
26	11	11
27	200	200
28	3	3
29	12	12
30	2	2
31	7	7
32	200	199
33	6	6
34	1	1
35	3	3
36	200	200
37	200	200
38	200	200
39	200	200
40	200	200
41	200	200
42	200	200
43	200	200
44	200	200
45	200	200
46	34	34
47	11	11
48	140	140
49	45	45
50	200	200
51	4	4
52	148	0
53	200	200
54	58	0
55	4	0
56	11	0
57	200	0
58	1	0
59	142	0
60	45	0
61	58	0
62	32	0
63	7	7
64	200	0
65	200	0
66	1	0
67	13	0
68	100	0
69	24	0
70	1	0
71	74	0
72	1	0
73	43	0
74	6	0
75	148	0
76	200	63
77	7	0
78	200	0
79	1	0
80	16	0
81	22	0
82	36	0
83	5	0
84	3	0
85	4	0
86	1	0
87	2	0
88	63	0
89	200	0
90	47	0
91	3	0
92	2	0
93	17	0
94	1	0
95	53	0
96	1	0
97	1	0
98	1	0
99	11	0
100	170	0
101	17	0
102	12	0
103	195	0
104	1	0
105	3	0
106	13	0
107	2	0
108	29	0
109	1	0
110	10	0
111	3	0
112	4	0
113	30	0
114	200	0
115	12	0
116	37	0
117	5	0
118	28	0
119	1	0
120	200	0
121	78	0
122	4	0
123	26	0
124	200	0
125	63	0
126	200	0
127	7	0
128	29	0
129	44	0
130	107	0
131	1	0
132	1	0
133	15	0
134	130	0
135	15	0
136	9	0
137	3	0
138	14	0
139	200	0
140	13	0
141	2	0
142	3	0
143	6	0
144	1	0
145	9	0
146	1	0
147	1	0
148	9	0
149	8	0
150	14	0
151	4	0
152	57	0
153	15	0
154	124	0
155	19	0
156	33	0
157	14	0
158	18	0
159	61	0
160	37	0
161	4	0
162	3	0
163	28	0
164	1	0
165	9	0
166	14	0
167	15	0
168	56	0
169	1	0
170	6	0
171	18	0
172	5	0
173	113	0
174	16	0
175	101	0
176	1	0
177	15	0
178	8	0
179	1	0
180	10	0
181	3	0
182	42	0
183	16	0
184	80	0
185	14	0
186	2	0
187	40	0
188	19	0
189	158	0
190	1	0
191	72	0
192	17	0
193	22	0
194	106	0
195	2	0
196	3	0
197	1	0
198	1	0
199	82	0
200	1	0
201	32	0
202	163	0
203	23	0
204	164	0
205	8	0
206	1	0
207	5	0
208	1	0
209	39	0
210	6	0
211	8	0
212	17	0
213	91	0
214	5	0
215	1	0
216	3	0
217	60	0
218	7	0
219	59	0
220	1	0
221	8	0
222	79	0
223	200	0
224	1	0
